[[0:05 | t=5]] [музыка] Всех приветствую. Мы с вами постепенно
[[33:47 | t=2027]] партнёрстве. Аа, например, э-э вместо лонгрида можно реализовать какую-то коллаборацию либо дополнительно, и так вы друг друга усилите. А про что я говорю, да? То есть кому-то может быть непонятно. А на слайде, а у нас есть в Екатеринбурге цветочная лавка небольшая, называется Хортус Бар. И основной способ продвижения у ребят - это коллаборации и партнёрство с различными брендами и
[[34:17 | t=2057]] бизнесами э в Екатеринбурге. То есть здесь, например, у них был какой-то совместный ужин с местным баром. Дальше у них была коллаборация с музеем искусств, а с магазином керамики. То есть форматов действительно очень много. И как это всё работает? Это всё помогает продвигаться мягко, да, пиаром. Это создаёт дополнительные инфоповодны, это создаёт
[[34:48 | t=2088]] точечные охваты. И суперважно в таких проектах найти э проект, найти бизнес с похожей либо желаемой для вас аудиторией, да. Ну и как это самое сложное найти партнёра. И вот несколько зелёных, да, флагов на слайде. Суперважно совпадать ээ с партнёром по бизнес-задачам, да? То есть, например, и вы, и будущий партнёр каким-то образом настроены на
[[35:18 | t=2118]] сбор заявок либо продвигайтесь в определённой аудитории. То есть это супер-сперважно. У у и у вас, и у партнёра должно быть одинаковое видение этого проекта и конкретный оговорен результат. Например, если вы делаете какой-то совместный контент или совместную какой-то лидмагнит, вы должны понять, вот мы хотим суммарно привести 500 заявок, и вы, партнёр, должны на это подписаться. Соответственно, очень важно ещё человеческий фактор учесть, потому что,
[[35:48 | t=2148]] а, мы все, а, работаем, да, мы все люди, и очень важно, э, чтобы ваши команды, либо вы просто, да, человечески совпадали по ценностям или как-то вот просто вам человечески было приятно находиться рядом, потому что, а, где-то месяц вы, наверное, или это самое меньшее, вы будете работать над проектом. И если у вас там, не знаю, коллеги по проекту начинают закатывать глаза, когда ээ вы собираетесь
[[36:19 | t=2179]] созвониться, да, с будущим партнёром, либо какая-то токсичность всплывает, совершенно точно а проекты не получится. Поэтому суперважно здесь человечески ещё смчиться. Ну и, э, что классно, когда мы делаем какую-то совместную штуку, хорошо бы дать всегда чуть больше, лишний раз этого потенциального партнёра упомянуть в соцсетях, да, либо пригласить на какой-то смежный проект, порекомендовать его куда-то. Так ваша аудитория привыкнет, что вы что-то совместно
[[36:49 | t=2209]] делаете, и результат будет, э, супер э плотный и будет сильно лучше, чем это будет какая-то внезапная коллабас с незнакомым бизнесом. Вообще такие штуки и с коммерческими, и с некоммерческими проектами, и с личным каким-то брендом. Это хороший способ показать, что вы, например, с этими проектами разделяете одни ценности. А классный способ обменяться аудиторией и как-то совместно усилить инфоповод. Поэтому тоже рассмотрите это как дополнительный канал
[[37:21 | t=2241]] маркетинга вашего. Ну и что важно, да, подводя уже какой-то итог, мы понимаем с вами, что альтернативных каналов у нас больше нет. Так или иначе, и геосервисы, и какие-то площадки отзывов, и какие-то, может быть, медиагородские, они так или иначе все попадут в ваш медиаплан, потому что у нас с вами очень ограниченный инструментарий сейчас. Ну и плюс стоимость заявки в классическом перфомансе будет расти. Поэтому прямо сейчас нужно тестировать то, что вы не
[[37:51 | t=2271]] успели протестировать. И всегда помнить, что тестировать нужно э с умом, потому что мм во-первых, в в вашем бюджете всегда должны натест. Мы всегда за закладываем где-то 10% ежемесячного бюджета маркетингового на тестгипотез. Ну и плюс мы в калибре готовы а вам помогать тестировать любые гипотезы, потому что а-а наши сервисы
[[38:23 | t=2303]] наши суперсилы, да, мы видим источник э качество заявки в моменте, то есть не когда уже совершилась продажа и сделка, а в моменте. И это помогает принять решение прямо сейчас и не ждать, пока закончится бюджет. Я м что я имею в виду, да? То есть все как-то хотят долгосрочную глубинную аналитику понимать там суперпродажи. Но когда вы прямо сейчас не понимаете, сколько у вас из 100 заявок квалифицированных заявок и какие каналы эти заявки принесли и что прямо сейчас
[[38:54 | t=2334]] нужно масштабировать, вы совершаете большую ошибку, потому что вы опаздываете за э маркетингом своих конкурентов. Совершенно точно. А поэтому у меня есть для вас небольшое спецпредложение. Э-э, если, а-а, вы ещё не тестировали, то участникам мероприятия мы предлагаем, э, скидку 20% на длительные тарифы мультитрейкинга, онлайн-чаты или попав. И, э, обязательно, мм, оставляйте заявку, и наши ребята
[[39:26 | t=2366]] могут вам помочь и подобрать любой сервис. То есть все наши сервисы можно работать, как и автономно подключать, так и в связке. А это совершенно, а удобно. Вот. И ээ что ещё важно, у меня есть, а, для вас, э, тоже такая штука, да, это гайд по увеличению продаж на текущем трафике сайта. Тоже супер полезная информация от нас. Ээ, изучите, если вы прямо сейчас, например, не закупаете аэ рекламу, но у вас есть уже
[[39:58 | t=2398]] накопленный какой-то багаж и SEфика, и, ээ, трафика с других каналов, с ним можно точно поработать и э получить заявки. Поэтому, э, проэкспериментируйте, прочитайте. Гайд абсолютно бесплатный. Ну и большое вам спасибо за внимание. э, готовы отвечать на ваши вопросы. Обязательно ещё подпишитесь на наш Telegram-канал. Его веду лично я. И мы там рассказываем наш личный опыт маркетинговый, опыт
[[40:29 | t=2429]] наших клиентов, реальные абсолютно бюджеты. Поэтому приходите, буду очень вас там рада видеть в комментариях, задавать вопросы. Спасибо вам большое. >> Анастасия, спасибо. Э, вспоминаю вечерний маркетолог в Красноярске. Это было замечательно. Лично там как раз был. >> Да, >> да, давайте пойдём по вопросам. Этот как раз есть. Значит, начнём с конца. А >> какие такие контент-партнёрства ээ рекламируется с точки зрения регламентируется с точки зрения
[[41:00 | t=2460]] маркировки? >> Ага. С точки зрения маркировки. Э-э, ну, вообще, э-э, если мы говорим про какой-то совместный материал, совместное исследование, совместный текст, то мы это обычно не маркируем, потому что, как правило, там нет прямой продажи, нет прямой рекламы. Иногда это просто могут быть абсолютно смежные темы, где нет продажи услуг. Поэтому, как правило, э очень много спецпроектов, они не маркируются. Обратите внимание на рынок.
[[41:31 | t=2491]] Очень много агентств делают спецпроекты, очень много сервисов тоже. И м там нет маркировки. И она практически везде не нужна, потому что там немножко другой тип контента, там непрямая продажа. >> Угу. Хорошо, спасибо. Идём дальше. Сайты Натильди. Хорошо ли они индексируются? >> А, насколько я знаю, на всех конструкторов есть сейчас SE и метатеги, и они все оптимизированы для поисковых систем. Что нужно учитывать? А когда мы
[[42:02 | t=2522]] говорим про индексацию? Да, они индексируются хорошо, но для поис для поисковых машин важно в том числе не только правильно расставленные метатеги, но и репутация, да, этого сайта, накопленный его багаж, ссылочная масса, так называемый траст, да, как сеошники говорят. Поэтому, если а у вас, э, ну, то есть задача, например, сделать какой-то спецпроект, сделать какую-то быструю штуку, гипотезу, это прекрасно.
[[42:32 | t=2552]] То есть на Тильде можно спокойно это делать. Ну, если речь идёт о каком-то бизнес-направлении новой отрасли или там, я не знаю, вы агентство и понимаете, что сейчас хотите не шеваться в сфере медицины, то лучше делать на основном сайте вашем, э, где уже накоплена история, страничку отдельную, не делать её на тильде. >> Это разумно, как раз репутация, в том числе для поисковых систем. А так тут вопрос госсервиса, что имеется в виду?
[[43:02 | t=2582]] Мне кажется, ты как раз говорил именно про геосервисы. Не, госсервисов не было. >> Нет, госсервисов не было. Это геосервисы, это Яндекскарты 2гис, то есть это онлайн-карты. Тугиз. Ну как менее популярный Тугиз, более популярный Яндекс-карты. Стоит ли в Тугиз заходить, на твой взгляд? Ну почему, если ты его предлагаешь как раз, то почему? Какие преимущества? >> Угу. А, смотрите, здесь нужно обязательно смотреть по регионам и вообще по сферам, так скажем, вернее,
[[43:34 | t=2614]] как по точкам присутствия этих больших компаний. То есть Яндекс-карты вообще очень популярны почему-то у нас ээ в Москве, да, в центральных регионах. Очень популярные на юге, то есть в Краснодаре, например, том же очень популярны именно а Яндекска-карты. При этом, если мы возьмём, а, да, более, э, дальние регионы, возьмём Сибирь, возьмём Урал, то обращений из два гиса будет больше. То есть всё зависит от региона, но как
[[44:06 | t=2646]] рекомендуют агентства и коллеги, которые работают вообще с продвижением, да, на таких площадках, что нужно вообще учитывать их все, то есть ээ там нет ничего сложного, да, в введении, да, то есть есть свой порядок заполнение карточки, заполнение товаров, да, вот это вот всего это просто очень большая системная работа и разумно инвестировать, я думаю, в обе площадки. Разумно. Спасибо. Не кладём яйца в одну корзину, как бы.
[[44:36 | t=2676]] >> Это совершенно точно. >> Так, и ещё вопрос. Был ли у вас опыт продвижение услуг банкротства физических лиц? >> О, боже мой. А у меня лично, конечно, такого, ну, понимать, что ээ Калибри - это IT-компания и не агентство. То есть мы предоставляем сервис, да, продаём сервис, а клиент уже, а, использует его самостоятельно. Поэтому, мм, у нас есть, конечно, а клиенты из подобной ниши, есть клиенты из финтеха, да, в целом. Но
[[45:08 | t=2708]] к сожалению, я не смогу, ээ, сказать многое об их каналах продвижения, потому что мы не делаем его вот прямо, то есть мы не делаем консультацию, они просто подключают калибри, а мы видим, как у них, что у них там происходит внутри. >> Спасибо. Э, не придраться. Ну, всё, всё чётенько как раз. Правильно. Лучше не советовать чего-то такого прямо, что а может пойти во вред, тем более, >> да, конечно, >> в сфере особенной. >> Спасибо. Спасибо. У кого есть ещё вопросы, вы обязательно их в чат пишите.
[[45:39 | t=2739]] Я думаю, Анастасия ответит тогда письменно. Вот. А мы тогда будем продолжать. Анастасия, спасибо тебе большое. >> Спасибо. Будем на связи. >> Вот. А теперь приглашаю Александра. Александр руководит направлением по продвижению спецпроектов в SMM Планнере. Александр, надо давай сходу тоже вопрос. Привет. А что ты скажешь по аналитике? Как ты к ней относишься? Норм или стрём? >> Аналитика отлично, лучшее, на самом деле, что может быть. И всем рекомендую
[[46:10 | t=2770]] всегда помнить про то, что такие столпы и в создании контента, и в таргетированной рекламе в целом не только креативить, но больше копаться с циферками, анализировать, анализировать, анализировать всё. А, собственно, только комбо из вот этого приведёт вас к успехам. >> Чётко звучит. Спасибо. Проверка сделана. Хорошо. Теперь теперь тогда поговорим про контент и передаю тебе микрофон.
[[46:41 | t=2801]] >> А, да, друзья, всем ещё раз привет. А мы сегодня я в своём выступлении хочу затронуть разные темы. Мы поговорим и в целом про создание контента, и про более какие-то глобальные моменты, как создание стратегии продвижения. А поговорим и про конкретику при создании контента, про нейросети тоже поговорим и про аналитику тоже затронем. Аа такое у нас будет комбо. Для начала давайте я задам такой вопрос. У нас неросеть самое, собственно, популярное, что
[[47:12 | t=2832]] сейчас про используют люди в самых разных сферах. И на самом деле, прямо когда читаешь каналы, очень часто видишь посты, которые там тексты написаны неросетями. Там в каких-то курсах люди сдают домашки, там тоже используют нейросети, уже не пишут отдельно там сами какие-то тексты и больше адаптируют. А мне вот интересно даже спросить не то, кто из вас там использует неросети, потому что подавляющее число людей, наверное, уже использует. Напишите, кто не использует
[[47:43 | t=2863]] неросети, точнее даже, кто использует неросети менее одного раза в неделю. Напишите плюсик в чат. А мы начнём с этого. Потом ещё будет интересное такое вот обсуждение по поводу графических ну, точнее, неростей, которые создают, а, визуал и текст там, потому что по статистике есть интересные моменты. Про это тоже мы там чуть-чуть поговорим. А как что создавать? Аа, и давайте пока потихонечку приступать. Меня, да, вот, как представили, зовут Холдов Александр.
[[48:13 | t=2893]] Я руководитель по продвижению спецпроектов в SMM Planner, преподаватель, автор курсов в SMM School. А, собственно, наверное, вот такой картинкой стоит начать выступление, когда мы говорим про контент, когда мы говорим, да, в целом глобальное продвижение, она подходит под очень многие моменты, особенно с учётом охватов классных, которые а в разных социальных сетях наблюдаются, когда идёт падение. У нас есть внутренняя такая шутка в команде, а когда мы просили, чтобы вот а во
[[48:43 | t=2923]] ВКонтакте было с алгоритмами, как в одной запрещённой соцсети. Мы не то имели в виду, потому что последние там месяцы, несмотря на блокировки, вообще наблюдается какое-то поразительно странное изменение алгоритмов работы в запрещённых соцсетях, где там разные форматы контента, которые всегда идеально работали, перестают работать. Ну давайте поговорим, собственно, что делать вообще при создании контента. И, как ни странно, мы начнём не с просто с создания контента, мы копнём дальше, а, к созданию стратегии, потому что все на самом деле вот эти частные вещи про то,
[[49:14 | t=2954]] как нам, э, какой пост написать, что сделать, какие форматы подходят и так далее, всё это не имеет смысла, если у вас нет какого-то вот цель целостного представления по стратегии, по тому, что вы планируете делать. То есть какая-то чёткая, выверенная, структурированная работа у вас всегда должна быть. Я пока посмотрю на ваши ответы. И вот я сейчас вижу прямо поразительно, что прилично людей, которые вообще не используют не рассете, ну там используют реже, чем раз в неделю, потому что не так давно
[[49:45 | t=2985]] выступал на другой конференции и там прямо было совсем мало людей, которые там буквально пара человек написало, что не используют, остальные практически всегда используют. А давайте тогда сделаем ещё одну такую мини-голосовалку. Пока мы разгонёмся, как раз к моменту создания контента нам эти данные пригодятся. А кто использует нейросети из тех, кто использует для написания текстов, сценарии, контент-планы, ну, в общем, всё, что угодно, где вот вы получаете текст, напишите в чат 10, а кто использует для создания видео, фото,
[[50:17 | t=3017]] там, ну, в общем, всё, что связано вот с таким визуалом, может быть, кто-то там озвучку использует, напишите пять. Вот интересно тоже такую пропорцию будет посмотреть. Собственно, давайте приступать к созданию стратегии продвижений. Что нам нужно делать? Стратегию продвижения, понятно, можно создавать разными способами. Могут быть у вас какие-то кейсы, наработки, вы их, э, добавляете в проект, если там вы маркетолог, таргетолог. Если у вас собственный какой-то бизнес, а то, собственно, вот с чего нужно начинать и
[[50:49 | t=3049]] почему нужно использовать неросети, потому что они вам просто сэкономят кучу времени. Я сейчас поделюсь конкретными промтами, которые мы с командой нарабатывали, которые там нам от клиентов приходят, рассказывают, что делали. А давайте, а посмотрим, а какие есть проблемы, какие есть подводные камни с созданием стратегии. Собственно, когда мы говорим про работу с любой, на самом деле, неросетью, там просто в некоторых моделях это сильно ухудшает результат, в некоторых не сильно, но
[[51:19 | t=3079]] глобально стоит помнить, ну, во-первых, что Неросети наши помощники, а, во-вторых, что Нерасеть она будет вам выдавать ту информацию, которую вы хотите получить, но если вы завалите её вопросами, то результат зачастую будет сильно хуже. Мы можем сделать какой-то запрос. Вот как здесь у нас на примере. Он, ну, так довольно информативный, условно. Здесь мы вживаем какую-то роль для нейросети, там говорим, какой клиент пришёл, э, что конкретно есть у этого клиента. Неросеть нам выдаёт результат.
[[51:51 | t=3111]] Но я здесь сразу прошу, а, сильно много информации дать. И, как правило, в таких запросах не всегда иногда неросеть отходит от каких-то там частных моментов и даёт более какую-то общую картину. Поэтому лучше всего выполнять запросы именно по очереди, а, и делать какой-то один, мм, запрос для множества задач не всегда лучший вариант. А вот эти ответы, которые вы получите, вы потом можете адаптировать конкретно под свой бизнес, используя GPT-агенты. Про них мы попозже
[[52:22 | t=3142]] отдельно поговорим. Если мы говорим про вот такое глобальное создание стратегии, какая у нас может быть последовательность? Презентацию вы получите, поэтому сможете там пересмотреть все эти промты, скопировать их. Это вот прямо готовые промты, которые можно брать, использовать. Промт для анализа целевой аудитории, их болей. А, берём, копируем этот кусок. Ты маркетолог. Определи характеристики моей целевой аудитории для описания для услуг. Здесь мы описываем услугу. Услугу описывайте всегда подробно. А на самом деле самый простой вариант, если у вас
[[52:52 | t=3172]] есть какой-то сайт, если у вас есть хорошо там оформленная страница в социальной сети, а то можно просто прямо брать вот описание сайта, описание социальной сети, вставлять сюда и использовать это для анализа. Что касается вот этого начального ключа, ты маркетолог, здесь тоже есть ряд подводных камней. А лучше указывать какие-то допроли, допния, допуч хорошо разбираешься в создании стратегии. То есть лучше заточить не под
[[53:23 | t=3203]] просто ты маркетолог, там даже не ты маркетолог с десятилетним оптом, а в чём больше разбирается, чтобы а улучшить результаты. Дальше а следующий промт. Они вот у нас здесь цепочкой а действуют, как я начал говорить, что лучше цепочка. Вот как раз пример второй. Мы берём и говорим, что ты эксперт по маркетингу. Теперь определи сегмент целевой аудитории. Описываем подробно а наш бизнес. Опиши все сегменты, который может быть заинтересован в покупке товаров или услуг. Здесь там в зависимости от вашего
[[53:53 | t=3233]] бизнеса. Если оффлайн, то указываете какую-то специфику офлайн-бизнеса. Если там у вас есть продажи через сайт, э какие-то там каналы другие используются, всё это указываете. А когда мы это получили, мы берём каждый сегмент там и отдельно описываем подробно болебности каждого сегмента. Мы, то есть, не пишем уже какие-то там тексты под этот сегмент и так далее. Мы теперь потом, когда всё это получили, берём из предыдущего промта нужный сегмент и пишем промт. Ты гуру маркетинга с опытом более 20 лет.
[[54:25 | t=3265]] Можно добавить там конкретную специализацию, как я вот как раз говорил, что лучше заточить его под что-то конкретное. Потом, используя данные о потенциальном покупателе, перечисляем там их из пункта один или загружаем бф, разработай аа какой-то портрет для какой-то вот для клиента, что за продукт мы можем сделать. Детально дальше описываем продукт. А можно использовать более базовые какие-то простые варианты анализа целевой аудитории, но там их под более
[[54:55 | t=3295]] какие-то частные ситуации. А вам ничего не запрещает. всё это вместе скомбинировать и получить, а, потом через следующий промт, э, сводку общую того, что вот, а, чат GPT вам, а, поставит, какую информацию. А здесь у нас получается там проведение детального анализа аудитории, включая какие-то демографические характеристики, интересы, поведения. Отдельно можно сделать там своднатализ, э, какие-то другие варианты. После этого, когда мы
[[55:25 | t=3325]] всё это сделали, мы можем ещё углубиться в анализ базовой целевой аудитории. Напомню, что мы всё это подводим к контенту. То есть вот такой у нас долгий путь, потому что мы хотим определить, для кого мы пишем, что мы пишем. А моя целевая аудитория - это короткое какое-то описание даём. Говорим, что хочу продавать им то-то. А после этого можно использовать такую цепочку. Теперь нужно сегментировать эту аудиторию. Опиши три возможных варианта сегментации. И учитывая вот эти сегменты, отдельно копируем каждый
[[55:55 | t=3355]] сегмент, вставляем опиши бы болевые точки, которые, а, существуют у каждого сегмента. Затем, только уже учитывая боли, а, создай воронку продаж. Мы до текстов ещё не дошли. Мы вот просто глобальную такую воронку продаж сделали. А это на самом деле вот всё, что мы получили, можно использовать и лучше использовать не просто там в едином окне чата, а с чат GPT, потому что какая проблема у нас существует? Неросети, ну в целом все забывают какую-то информацию, которую
[[56:26 | t=3386]] давно получали. И если там вот вы работаете а счатом JPT, он там через месяц уже не будет помнить, вот за что под что он был заточен, потому что вы разную информацию ему вскармливаете, постоянно общаетесь и так далее. Лучше всего использовать под такие варианты GPTS-агенты специальный, в который вы скармливаете вот эту всю информацию, которую получили по базовому анализу целевой аудитории. Этот GPTS-агент будет заточен только под конкретную задачу. Там я чуть попозже покажу некоторые примеры, которые мы там
[[56:57 | t=3417]] используем, например, в своей работе. Как создавать контент и что вообще нужно глобально при создании контента помнить. Что если пишете самостоятельно, если в комбо с нейросетями? В любом случае мы всегда, когда пишем, мы делаем не контент для себя, для заказчика. Да, парадоксально может звучать, что мы не делаем контент для заказчика, а потому что мы делаем контент для аудиторий. А-а, и частая проблема, когда заказчик говорит: "Да вот какая-то у меня такая аудитория, будет интересно это". А это
[[57:28 | t=3448]] никому не интересно. Поэтому всегда вот как раз вопрос был главный: а важна ли аналитика? Аналитика крайне важна, потому что всё, а, решают только цифры, цифры, цифры. Аа, ноль креатива, ну, это шутка утрирована, но на самом деле а цифры решают, и вы должны опираться всегда на цифры, прежде чем принимать решения. Это заходит, это не заходит. Посты всегда делаем направленными на интересы аудитории. При этом, исходя вот как раз из более потребностей, мы определяем, эта аудитория у нас какая, новички, они более продвинутые, а что им
[[58:00 | t=3480]] будет интереснее, потому что какие-то супербазовые темы, ну, не будут интересны, э, людям, которые уже там давно заинтересованы в этой тематике. Аа при этом какие-то, опять же, суперсложные темы будут отталкивать новичков. человек заходит, а очень во многих сферах, когда там делают какое-то вот своё комьюнити, а получается ситуация, когда есть какой-то коммьюнити, который суперэкпертный, но может токсично относиться к новичкам. А поэтому, чтобы вот не отпугнуть разные сегменты аудитории, вам нужно
[[58:30 | t=3510]] держать вот баланс, понимать, на кого направленный контент, чтобы был интересен всем, какие рубрики использовать. Глобально тут два совета. Это всегда должно быть, э, у вас рубрика первая, опыт ваших клиентов. Можно придумывать, да, вообще самые разные форматы и видео, и текст. Но суть одна: это рассказы от первого лица могут быть старителинг с участием клиента, там до после, но в любом случае показываем опыт ваших клиентов, как клиент, используя ваш продукт, купив
[[59:02 | t=3542]] его, а, получив услугу, стал чувствовать себя там, что изменилось в его жизни. и страх, страхи, мифы, чтобы закрыть все возражения. Это вот основа контента, если мы прямо суперсильно будем обобщать. Рубрики какие использовать разные, на самом деле. У нас, видите, какая ситуация, всё сильно меняется. Непонятно, какой, э, контент хорошо заходит, какой плохо. Я помню там времена, например, когда вот ВКонтакте появился блог со статьями, и ты мог
[[59:32 | t=3572]] понимать, что вот если ты публикуешь статью в своём сообществе, то ты наберёшь там условно 10.000 охвата и вот там стандартно её публикуешь ну разные статьи там раз в неделю и примерно понимаешь, сколько охват. Но это было в далёком там 2018 году. Сейчас такого нет. Сейчас приоритет там видеоконтенту, но при этом приоритет видеоконтенту тоже размазывается. что аа хорошо залетает короткий формат, то резко плохо. То есть всегда нужно смотреть, держать руку на пульсе. Поэтому нет каких-то вот
[[1:00:03 | t=3603]] глобальных рубрик, которые только нужно делать их, остальное не делать. Всегда экспериментируем, смотрим на цифры, но при этом эти рубрики должны быть, опять же, интересны аудитории нашей. И второй важный момент, мы не должны там потратить всю жизнь условно на создание этого контента, потому что, ну, бессмысленно тратить неделю, когда контент не заходит. Одно время, я помню, там несколько лет назад были кейсы, когда, а, сообщества, в которых публиковались там подробные там
[[1:00:34 | t=3634]] околонаучные статьи, аа дико жаловались от того, что статья опубликуется, ну, на её создание нужно потратить много времени. А в итоге, когда статья опубликует захват, а сильно маленький набирается за счёт того, что там с аудиторией не было взаимодейстно на протяжении долгого времени и, соответственно, а работа потрачена, работа была проделана огромная, но по сути выхлоп нулевой, поэтому нужно держать его баланс, чтобы вас ваш контент не пессимизировался, то есть
[[1:01:04 | t=3664]] чтобы его люди видели и при этом, чтобы он был им интересен. А если мы говорим про работу с нейросетями, когда мы создаём контент-планы, то при вставлении контент-плана нейросеть на самом деле важно помнить такой не бак, а фичу нейросетей, что неросеть очень часто, сейчас я реже это вижу, но очень часто не учитывает, что аккаунт давно уже не ведётся. Например, какая ситуация? Если я укажу там, создай мне контент-план для салона красоты, опишу что-то, очень
